ts_utc,bucket,cycle,status,symbol,address,decimals,usd_in,amount_out,price_usd,price_impact_pct,multiplier,multiplier_raw,routes,reason
2026-09-17T19:05:22+00:00,2026-09-17T19:05+00:00,35262759426,ok,GOOGLx,0xe92f673ca36c5e2efd2de7628f815f84807e803f,18,5.0,0.014444463898935587,346.1533799374,NA,1.002377250060348723,1002377250060348700,Uniswap V3 100%|xStocks wrap V2 100%,
2026-09-17T19:05:23+00:00,2026-09-17T19:05+00:00,35262759426,ok,BRK.Bx,0x12992613fdd35abe95dec5a4964331b1ee23b50d,18,5.0,0.009790216531510102,510.7139340491,NA,1.,1000000000000000000,Uniswap V4 100%|Uniswap V3 100%|xStocks wrap V2 100%,
2026-09-17T19:05:25+00:00,2026-09-17T19:05+00:00,35262759426,ok,TSLAx,0x8ad3c73f833d3f9a523ab01476625f269aeb7cf0,18,5.0,0.013623091384563354,367.0238904560,NA,1.,1000000000000000000,Uniswap V3 100%|xStocks wrap V2 100%,
2026-09-17T19:05:26+00:00,2026-09-17T19:05+00:00,35262759426,ok,AAPLx,0x9d275685dc284c8eb1c79f6aba7a63dc75ec890a,18,5.0,0.014860663903590744,336.4587230044,NA,1.003269012539818705,1003269012539818700,Uniswap V4 100%|Uniswap V3 100%|xStocks wrap V2 100%,
2026-09-17T19:05:28+00:00,2026-09-17T19:05+00:00,35262759426,ok,COINx,0x364f210f430ec2448fc68a49203040f6124096f0,18,5.0,0.029001832745343483,172.4028975653,NA,1.,1000000000000000000,Uniswap V3 100%|xStocks wrap V2 100%,
2026-09-17T19:05:30+00:00,2026-09-17T19:05+00:00,35262759426,ok,TSMx,0x9e3bf4ecfc44eedd624f26656b6736a3f093b073,18,5.0,0.011635047280662418,429.7361136048,NA,1.006187447932033185,1006187447932033200,Uniswap V3 100%|xStocks wrap V2 100%,
2026-09-17T19:05:31+00:00,2026-09-17T19:05+00:00,35262759426,ok,AVGOx,0x38bac69cbbd28156796e4163b2b6dcb81e336565,18,5.0,0.014343935792638211,348.5793628947,NA,1.004883768486276807,1004883768486276800,Uniswap V3 100%|xStocks wrap V2 100%,
2026-09-17T19:05:33+00:00,2026-09-17T19:05+00:00,35262759426,ok,IWMx,0xdadfb355c6110eda0908740d52c834d6c2bcddc7,18,5.0,0.017440498624233008,286.6890510259,NA,1.004730320498842033,1004730320498842000,Uniswap V3 100%|xStocks wrap V2 100%,
2026-09-17T19:05:34+00:00,2026-09-17T19:05+00:00,35262759426,ok,HOODx,0xe1385fdd5ffb10081cd52c56584f25efa9084015,18,5.0,0.046541186327720634,107.4317264883,NA,1.,1000000000000000000,Uniswap V3 100%|xStocks wrap V2 100%,
2026-09-17T19:05:36+00:00,2026-09-17T19:05+00:00,35262759426,ok,ASMLx,0xc0b417e7f83db438631eb5e096684dd742e5294f,18,5.0,0.003072913601268357,1627.1202672071,NA,1.002866334414662441,1002866334414662400,Uniswap V3 100%|xStocks wrap V2 100%,
